crypto,date,open,high,low,close,volume
Bitcoin,2023-07-08,30339.1,30406.0,30047.78,30291.69,4961.0467279406175
Bitcoin,2023-07-09,30294.3,30474.0,30066.95,30168.38,5233.561888120906
Bitcoin,2023-07-10,30168.26,31060.0,29955.0,30419.89,16471.34854785529
Bitcoin,2023-07-11,30419.89,30836.0,30304.45,30626.55,13116.437772481968
Bitcoin,2023-07-12,30623.9,31000.0,30200.0,30381.81,18463.20537516335
Bitcoin,2023-07-13,30383.26,31862.21,30217.1,31471.83,33792.50515539889
Bitcoin,2023-07-14,31471.83,31663.0,29920.31,30330.52,25827.075092995274
Bitcoin,2023-07-15,30330.93,30419.0,30254.67,30301.65,3556.333953780876
Bitcoin,2023-07-16,30316.0,30484.0,30069.0,30247.64,5357.030840950639
Bitcoin,2023-07-17,30239.3,30353.0,29668.58,30143.08,14200.084152763306
Bitcoin,2023-07-18,30143.08,30269.0,29500.0,29861.93,14463.178180723802
Bitcoin,2023-07-19,29861.92,30221.0,29757.44,29916.72,11104.748993392475
Bitcoin,2023-07-20,29912.7,30438.0,29564.19,29809.13,14983.417181682817
Bitcoin,2023-07-21,29797.9,30091.0,29720.3,29940.0,10002.798110821392
Bitcoin,2023-07-22,29907.15,30035.0,29626.86,29821.0,4458.036812860215
Bitcoin,2023-07-23,29766.7,30380.0,29733.55,30081.61,5846.190663720914
Bitcoin,2023-07-24,30082.4,30125.0,28850.0,29176.98,18669.30506199228
Bitcoin,2023-07-25,29176.98,29404.0,29046.0,29225.14,8707.846446461695
Bitcoin,2023-07-26,29225.11,29721.0,29089.54,29353.23,12414.496458241445
Bitcoin,2023-07-27,29336.1,29601.0,29071.7,29214.92,9325.62334759181
Bitcoin,2023-07-28,29214.93,29578.0,29112.8,29316.15,8528.842487050853
Bitcoin,2023-07-29,29316.05,29444.0,29253.44,29355.71,3673.0643958601063
Bitcoin,2023-07-30,29360.5,29488.0,29033.0,29281.39,5324.445119430477
Bitcoin,2023-07-31,29280.41,29560.0,29102.65,29230.67,10691.259022521295
Bitcoin,2023-08-01,29227.6,29755.0,28477.0,29697.27,22241.788804542226
Bitcoin,2023-08-02,29733.0,30076.0,28903.79,29164.22,22043.70679524385
Bitcoin,2023-08-03,29152.3,29442.0,28938.93,29174.18,11459.867402137947
Bitcoin,2023-08-04,29187.2,29337.0,28747.1,29076.48,9087.980591851609
Bitcoin,2023-08-05,29073.0,29153.0,28946.17,29047.1,3315.8402369599776
Bitcoin,2023-08-06,29047.33,29198.0,28952.1,29040.01,3303.791016160187
Bitcoin,2023-08-07,29040.01,29289.0,28628.9,29179.21,12296.219336620945
Bitcoin,2023-08-08,29179.0,30284.0,29104.65,29770.01,20377.372964741095
