crypto,date,open,high,low,close,volume
Axie Infinity,2023-02-06,10.93,11.18,10.57,10.67,104079.09923157982
Axie Infinity,2023-02-07,10.67,11.75,10.65,11.69,131896.2955425499
Axie Infinity,2023-02-08,11.7,13.19,11.31,11.95,333182.61232619
Axie Infinity,2023-02-09,11.95,12.45,9.9197,10.23,377518.3122743711
Axie Infinity,2023-02-10,10.25,10.34,9.9085,10.114,142433.90204036018
Axie Infinity,2023-02-11,10.11,10.48,10.06,10.35,63880.32484929009
Axie Infinity,2023-02-12,10.342,10.37,9.7,9.9137,67878.55383638004
Axie Infinity,2023-02-13,9.91,9.96,9.1412,9.6,94349.90226774006
Axie Infinity,2023-02-14,9.5898,9.994,9.139,9.9798,95490.73321355018
Axie Infinity,2023-02-15,9.97,10.833,9.7989,10.79,153386.10439344987
Axie Infinity,2023-02-16,10.83,11.78,10.09,10.14,288866.0034791796
Axie Infinity,2023-02-17,10.13,10.838,10.07,10.67,115607.53188801982
Axie Infinity,2023-02-18,10.66,11.37,10.64,10.904,104256.32255011042
Axie Infinity,2023-02-19,10.92,12.125,10.63,10.92,98536.57952337989
Axie Infinity,2023-02-20,10.93,11.547,10.48,11.24,181030.0369100404
Axie Infinity,2023-02-21,11.26,11.6,10.54,10.82,192551.6432031004
Axie Infinity,2023-02-22,10.82,10.84,10.1,10.57,117725.9589850397
Axie Infinity,2023-02-23,10.56,10.78,10.3,10.53,61415.26233952004
Axie Infinity,2023-02-24,10.524,10.64,9.778,10.03,79126.10677375009
Axie Infinity,2023-02-25,10.017,10.2,9.45,9.81,63593.1851169599
Axie Infinity,2023-02-26,9.8,10.047,9.71,10.01,42995.72921912007
Axie Infinity,2023-02-27,10.01,10.195,9.75,9.96,45904.61569686008
Axie Infinity,2023-02-28,9.98,10.01,9.5553,9.601,31460.84096109997
Axie Infinity,2023-03-01,9.6198,10.06,9.51,9.987,37228.95084951993
Axie Infinity,2023-03-02,10.0,10.03,9.55,9.75,36027.82278522005
Axie Infinity,2023-03-03,9.7467,9.7508,8.802,9.11,149741.89103510964
Axie Infinity,2023-03-04,9.1137,9.26,8.5393,8.81,39802.71336274998
Axie Infinity,2023-03-05,8.8,8.98,8.728,8.77,40197.20752113002
Axie Infinity,2023-03-06,8.77,8.98,8.5,8.8834,80944.40963983016
Axie Infinity,2023-03-07,8.8992,9.0,8.415,8.63,61498.70071277028
Axie Infinity,2023-03-08,8.64,8.67,7.746,7.91,138891.6971526697
Axie Infinity,2023-03-09,7.92,8.2268,7.23,7.38,110834.66501180967
Axie Infinity,2023-03-10,7.37,7.471,6.878,7.42,154702.08169104008
Axie Infinity,2023-03-11,7.44,7.74,7.01,7.35,172034.55678928937
